dataset,path,nodes,average_degree,global_E,global_00,global_01,global_11,global_p00,global_p01,global_p11,train_pos_shape,train_neg_shape,train_pos_neg_overlap,train_pos_E,train_pos_00,train_pos_01,train_pos_11,train_pos_p00,train_pos_p01,train_pos_p11,train_neg_E,train_neg_00,train_neg_01,train_neg_11,train_neg_p00,train_neg_p01,train_neg_p11,valid_pos_shape,valid_neg_shape,valid_pos_neg_overlap,valid_pos_E,valid_pos_00,valid_pos_01,valid_pos_11,valid_pos_p00,valid_pos_p01,valid_pos_p11,valid_neg_E,valid_neg_00,valid_neg_01,valid_neg_11,valid_neg_p00,valid_neg_p01,valid_neg_p11,test_pos_shape,test_neg_shape,test_pos_neg_overlap,test_pos_E,test_pos_00,test_pos_01,test_pos_11,test_pos_p00,test_pos_p01,test_pos_p11,test_neg_E,test_neg_00,test_neg_01,test_neg_11,test_neg_p00,test_neg_p01,test_neg_p11
dpah_fm0.40_hMM0.80_hmm0.50_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.50_1.pt,1000,11.888,5944,3306,2142,496,0.5561911170928667,0.3603633916554509,0.08344549125168237,"(4160, 2)","(4160, 2)",0,4160,2314,1499,347,0.55625,0.36033653846153846,0.08341346153846153,4160,2321,1499,340,0.5579326923076923,0.36033653846153846,0.08173076923076923,"(593, 2)","(593, 2)",0,593,330,214,49,0.5564924114671164,0.3608768971332209,0.08263069139966273,593,318,233,42,0.5362563237774031,0.39291736930860033,0.07082630691399663,"(1191, 2)","(1191, 2)",0,1191,662,429,100,0.5558354324097398,0.3602015113350126,0.08396305625524769,1191,671,413,107,0.563392107472712,0.34676742233417296,0.08984047019311503
dpah_fm0.40_hMM0.80_hmm0.50_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.50_2.pt,1000,11.888,5944,3306,2142,496,0.5561911170928667,0.3603633916554509,0.08344549125168237,"(4160, 2)","(4160, 2)",0,4160,2314,1499,347,0.55625,0.36033653846153846,0.08341346153846153,4160,2274,1577,309,0.5466346153846153,0.37908653846153845,0.07427884615384615,"(593, 2)","(593, 2)",0,593,330,214,49,0.5564924114671164,0.3608768971332209,0.08263069139966273,593,335,208,50,0.5649241146711635,0.35075885328836426,0.08431703204047218,"(1191, 2)","(1191, 2)",0,1191,662,429,100,0.5558354324097398,0.3602015113350126,0.08396305625524769,1191,676,412,103,0.5675902602854744,0.3459277917716205,0.08648194794290512
dpah_fm0.40_hMM0.80_hmm0.60_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.60_0.pt,1000,11.844,5922,3213,1915,794,0.5425531914893617,0.323370482944951,0.13407632556568727,"(4144, 2)","(4144, 2)",0,4144,2249,1340,555,0.5427123552123552,0.3233590733590734,0.13392857142857142,4144,2189,1380,575,0.5282335907335908,0.333011583011583,0.13875482625482624,"(591, 2)","(591, 2)",0,591,321,191,79,0.5431472081218274,0.32318104906937395,0.13367174280879865,591,304,196,91,0.5143824027072758,0.3316412859560068,0.15397631133671744,"(1187, 2)","(1187, 2)",0,1187,643,384,160,0.5417017691659646,0.3235046335299073,0.13479359730412804,1187,654,380,153,0.5509688289806234,0.3201347935973041,0.12889637742207244
dpah_fm0.40_hMM0.80_hmm0.60_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.60_1.pt,1000,11.844,5922,3213,1915,794,0.5425531914893617,0.323370482944951,0.13407632556568727,"(4144, 2)","(4144, 2)",0,4144,2249,1340,555,0.5427123552123552,0.3233590733590734,0.13392857142857142,4144,2255,1347,542,0.5441602316602316,0.3250482625482625,0.13079150579150578,"(591, 2)","(591, 2)",0,591,321,191,79,0.5431472081218274,0.32318104906937395,0.13367174280879865,591,308,214,69,0.5211505922165821,0.36209813874788493,0.116751269035533,"(1187, 2)","(1187, 2)",0,1187,643,384,160,0.5417017691659646,0.3235046335299073,0.13479359730412804,1187,648,373,166,0.5459140690817186,0.3142375737152485,0.13984835720303285
dpah_fm0.40_hMM0.80_hmm0.60_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.60_2.pt,1000,11.844,5922,3213,1915,794,0.5425531914893617,0.323370482944951,0.13407632556568727,"(4144, 2)","(4144, 2)",0,4144,2249,1340,555,0.5427123552123552,0.3233590733590734,0.13392857142857142,4144,2209,1404,531,0.5330598455598455,0.3388030888030888,0.12813706563706564,"(591, 2)","(591, 2)",0,591,321,191,79,0.5431472081218274,0.32318104906937395,0.13367174280879865,591,319,194,78,0.5397631133671743,0.32825719120135366,0.1319796954314721,"(1187, 2)","(1187, 2)",0,1187,643,384,160,0.5417017691659646,0.3235046335299073,0.13479359730412804,1187,655,372,160,0.5518112889637742,0.3133951137320977,0.13479359730412804
dpah_fm0.40_hMM0.80_hmm0.70_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.70_0.pt,1000,11.872,5936,3143,1620,1173,0.5294811320754716,0.272911051212938,0.1976078167115903,"(4155, 2)","(4155, 2)",0,4155,2200,1134,821,0.529482551143201,0.27292418772563176,0.19759326113116726,4155,2153,1159,843,0.5181708784596871,0.2789410348977136,0.20288808664259927,"(593, 2)","(593, 2)",0,593,314,162,117,0.5295109612141653,0.27318718381112983,0.1973018549747049,593,306,157,130,0.5160202360876898,0.26475548060708265,0.21922428330522767,"(1188, 2)","(1188, 2)",0,1188,629,324,235,0.5294612794612794,0.2727272727272727,0.1978114478114478,1188,629,332,227,0.5294612794612794,0.27946127946127947,0.19107744107744107
dpah_fm0.40_hMM0.80_hmm0.70_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.70_1.pt,1000,11.872,5936,3143,1620,1173,0.5294811320754716,0.272911051212938,0.1976078167115903,"(4155, 2)","(4155, 2)",0,4155,2200,1134,821,0.529482551143201,0.27292418772563176,0.19759326113116726,4155,2207,1130,818,0.5311672683513838,0.2719614921780987,0.19687123947051746,"(593, 2)","(593, 2)",0,593,314,162,117,0.5295109612141653,0.27318718381112983,0.1973018549747049,593,304,179,110,0.5126475548060708,0.30185497470489037,0.18549747048903878,"(1188, 2)","(1188, 2)",0,1188,629,324,235,0.5294612794612794,0.2727272727272727,0.1978114478114478,1188,635,316,237,0.5345117845117845,0.265993265993266,0.1994949494949495
dpah_fm0.40_hMM0.80_hmm0.70_2,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.70_2.pt,1000,11.872,5936,3143,1620,1173,0.5294811320754716,0.272911051212938,0.1976078167115903,"(4155, 2)","(4155, 2)",0,4155,2200,1134,821,0.529482551143201,0.27292418772563176,0.19759326113116726,4155,2164,1184,807,0.5208182912154031,0.28495788206979544,0.19422382671480146,"(593, 2)","(593, 2)",0,593,314,162,117,0.5295109612141653,0.27318718381112983,0.1973018549747049,593,319,160,114,0.5379426644182125,0.26981450252951095,0.19224283305227655,"(1188, 2)","(1188, 2)",0,1188,629,324,235,0.5294612794612794,0.2727272727272727,0.1978114478114478,1188,636,330,222,0.5353535353535354,0.2777777777777778,0.18686868686868688
dpah_fm0.40_hMM0.80_hmm0.80_0,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.80_0.pt,1000,11.842,5921,3073,1249,1599,0.5190001688903901,0.21094409728086472,0.27005573382874515,"(4144, 2)","(4144, 2)",0,4144,2151,874,1119,0.5190637065637066,0.2109073359073359,0.2700289575289575,4144,2110,889,1145,0.5091698841698842,0.21452702702702703,0.2763030888030888,"(590, 2)","(590, 2)",0,590,307,124,159,0.5203389830508475,0.21016949152542372,0.26949152542372884,590,295,124,171,0.5,0.21016949152542372,0.28983050847457625,"(1187, 2)","(1187, 2)",0,1187,615,251,321,0.5181128896377422,0.21145745577085087,0.2704296545914069,1187,610,260,317,0.5139005897219882,0.21903959561920808,0.2670598146588037
dpah_fm0.40_hMM0.80_hmm0.80_1,../data/splits/dpah/dpah_fm0.40_hMM0.80_hmm0.80_1.pt,1000,11.842,5921,3073,1249,1599,0.5190001688903901,0.21094409728086472,0.27005573382874515,"(4144, 2)","(4144, 2)",0,4144,2151,874,1119,0.5190637065637066,0.2109073359073359,0.2700289575289575,4144,2153,900,1091,0.519546332046332,0.2171814671814672,0.26327220077220076,"(590, 2)","(590, 2)",0,590,307,124,159,0.5203389830508475,0.21016949152542372,0.26949152542372884,590,299,134,157,0.5067796610169492,0.2271186440677966,0.26610169491525426,"(1187, 2)","(1187, 2)",0,1187,615,251,321,0.5181128896377422,0.21145745577085087,0.2704296545914069,1187,623,236,328,0.5248525695029486,0.1988205560235889,0.2763268744734625
